trade_no,etf_code,etf_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,entry_year,pnl_bucket
31,sh510500,中证500ETF,2017-07-10,2017-07-31,5.4750,5.5530,1.42,16,2017,0~5%
32,sh512500,中证500ETF华夏,2017-07-10,2017-07-31,3.0030,3.0290,0.87,16,2017,0~5%
33,sz159922,中证500ETF嘉实,2017-07-31,2017-07-31,2.1010,2.1420,1.95,1,2017,0~5%
34,sh512100,中证1000ETF,2017-08-07,2017-08-31,2.2420,2.3400,4.37,19,2017,0~5%
35,sz159915,创业板ETF易方达,2017-08-07,2017-08-31,1.6360,1.7680,8.07,19,2017,5~10%
36,sz159949,创业板50ETF,2017-08-07,2017-08-31,0.6850,0.7470,9.05,19,2017,5~10%
37,sh512660,军工ETF,2017-09-04,2017-09-29,0.9050,0.9360,3.43,20,2017,0~5%
38,sh512680,军工ETF广发,2017-09-04,2017-09-29,0.8770,0.9060,3.31,20,2017,0~5%
39,sh512660,军工ETF,2017-10-09,2017-10-31,0.9360,0.8870,-5.24,17,2017,-10~-5%
40,sh512680,军工ETF广发,2017-10-09,2017-10-31,0.9060,0.8650,-4.53,17,2017,-5~0%
41,sh513030,德国ETF,2017-09-04,2018-02-02,1.0890,1.1370,4.41,104,2017,0~5%
42,sh512200,房地产ETF,2017-11-06,2018-02-09,2.6250,2.6030,-0.84,69,2017,-5~0%
43,sh512800,银行ETF,2017-11-06,2018-02-23,0.4950,0.5480,10.71,74,2017,10~20%
44,sz159915,创业板ETF易方达,2018-02-05,2018-02-28,1.5860,1.6400,3.40,13,2018,0~5%
45,sz159949,创业板50ETF,2018-02-12,2018-02-28,0.6110,0.6690,9.49,8,2018,5~10%
46,sh512660,军工ETF,2018-03-05,2018-03-30,0.7970,0.8490,6.52,20,2018,5~10%
47,sh512660,军工ETF,2018-04-02,2018-04-27,0.8490,0.8430,-0.71,18,2018,-5~0%
48,sz159952,创业板ETF广发,2018-03-05,2018-05-25,1.0050,1.0200,1.49,56,2018,0~5%
49,sz159957,创业板ETF华夏,2018-03-05,2018-06-01,1.0140,0.9890,-2.47,61,2018,-5~0%
50,sh513500,标普500ETF博时,2018-06-04,2018-10-12,0.8090,0.8880,9.77,88,2018,5~10%
51,sh512880,证券ETF,2018-10-15,2018-10-31,0.6420,0.7580,18.07,13,2018,10~20%
52,sh512070,证券保险ETF易方达,2018-11-05,2018-11-30,0.5950,0.6000,0.84,20,2018,0~5%
53,sh512070,证券保险ETF易方达,2018-12-03,2018-12-14,0.6000,0.5600,-6.67,10,2018,-10~-5%
54,sh512200,房地产ETF,2019-01-07,2019-01-31,2.0360,2.0750,1.92,19,2019,0~5%
55,sh510500,中证500ETF,2019-02-11,2019-02-28,3.7940,4.4670,17.74,14,2019,10~20%
56,sh512010,医药ETF易方达,2019-03-04,2019-03-29,0.3960,0.4310,8.84,20,2019,5~10%
57,sh512010,医药ETF易方达,2019-04-01,2019-04-30,0.4310,0.4110,-4.64,21,2019,-5~0%
58,sz159941,纳指ETF,2018-05-07,2019-05-24,0.3500,0.4030,15.14,257,2018,10~20%
59,sh513100,纳指ETF,2018-06-04,2019-05-24,0.4750,0.5230,10.11,237,2018,10~20%
60,sh513030,德国ETF,2019-05-06,2019-05-31,1.0080,0.9920,-1.59,20,2019,-5~0%
61,sh513050,中概互联网ETF易方达,2019-06-10,2019-06-28,1.1260,1.2260,8.88,15,2019,5~10%
62,sh513050,中概互联网ETF易方达,2019-07-01,2019-07-31,1.2260,1.2120,-1.14,23,2019,-5~0%
63,sh513600,恒生指数ETF南方,2019-06-10,2019-08-02,2.4370,2.4870,2.05,40,2019,0~5%
64,sz159920,恒生ETF,2019-06-10,2019-08-02,1.4620,1.4620,0.00,40,2019,0~5%
65,sh512760,芯片ETF,2019-08-05,2019-09-23,0.5470,0.7230,32.18,35,2019,> 30%
66,sh512480,半导体ETF,2019-08-05,2019-09-23,0.5170,0.6760,30.75,35,2019,> 30%
67,sh513600,恒生指数ETF南方,2019-10-14,2019-11-15,2.5290,2.4880,-1.62,25,2019,-5~0%
68,sh512170,医疗ETF,2019-08-05,2020-01-21,0.3530,0.4630,31.16,115,2019,> 30%
69,sz159967,创业板成长ETF,2019-09-30,2020-02-20,0.3100,0.4010,29.35,92,2019,20~30%
70,sz159977,创业板ETF天弘,2019-11-18,2020-02-20,0.8380,1.0900,30.07,62,2019,> 30%
71,sh512660,军工ETF,2020-02-03,2020-03-20,0.7110,0.7670,7.88,35,2020,5~10%
72,sh515070,人工智能AIETF,2020-02-24,2020-03-20,1.3230,1.0900,-17.61,20,2020,-20~-10%
73,sh515650,消费50ETF,2020-04-07,2020-07-01,0.9350,1.2140,29.84,57,2020,20~30%
74,sh510880,红利ETF华泰柏瑞,2020-07-06,2020-07-31,1.8160,1.9210,5.78,20,2020,5~10%
75,sz159941,纳指ETF,2020-04-07,2020-08-07,0.4630,0.5990,29.37,84,2020,20~30%
76,sh513100,纳指ETF,2020-04-07,2020-08-21,0.6380,0.8520,33.54,94,2020,> 30%
77,sh512820,银行ETF汇添富,2020-08-10,2020-08-31,0.8790,0.9060,3.07,16,2020,0~5%
78,sz159920,恒生ETF,2020-08-24,2020-08-31,1.4050,1.3950,-0.71,6,2020,-5~0%
79,sh513660,恒生ETF,2020-11-09,2020-11-30,2.4900,2.5250,1.41,16,2020,0~5%
80,sh513600,恒生指数ETF南方,2020-11-09,2020-11-30,2.3940,2.4350,1.71,16,2020,0~5%
81,sh510880,红利ETF华泰柏瑞,2020-08-03,2020-12-11,1.9210,2.0420,6.30,89,2020,5~10%
82,sz159949,创业板50ETF,2020-12-14,2021-02-10,1.1100,1.5060,35.68,42,2020,> 30%
83,sz159915,创业板ETF易方达,2020-12-07,2021-02-26,2.6250,2.8500,8.57,54,2020,5~10%
84,sz159957,创业板ETF华夏,2020-12-07,2021-02-26,1.6570,1.7850,7.72,54,2020,5~10%
85,sh515100,红利低波100ETF,2021-02-22,2021-07-02,0.6980,0.8220,17.77,90,2021,10~20%
86,sh510880,红利ETF华泰柏瑞,2021-03-08,2021-07-02,2.0580,2.1900,6.41,80,2021,5~10%
87,sh515180,红利ETF易方达,2021-03-01,2021-07-09,0.8490,0.9830,15.78,90,2021,10~20%
88,sh512670,国防ETF,2021-07-05,2021-08-05,0.8490,1.1060,30.27,24,2021,> 30%
89,sh512680,军工ETF广发,2021-07-05,2021-08-23,1.0870,1.4010,28.89,36,2021,20~30%
90,sh512710,军工龙头ETF,2021-07-12,2021-09-10,0.8410,0.9500,12.96,45,2021,10~20%
91,sh516650,有色金属ETF基金,2021-08-09,2021-09-24,1.3000,1.3500,3.85,33,2021,0~5%
92,sh512200,房地产ETF,2021-09-13,2021-09-30,2.2430,2.2540,0.49,12,2021,0~5%
93,sh515450,红利低波50ETF,2021-09-27,2021-10-22,0.8780,0.8230,-6.26,15,2021,-10~-5%
94,sz159875,新能源ETF嘉实,2021-10-25,2021-12-10,1.0630,1.1000,3.48,35,2021,0~5%
95,sz159755,电池ETF,2021-08-30,2021-12-17,1.3400,1.3300,-0.75,73,2021,-5~0%
96,sh561910,电池ETF,2021-10-11,2021-12-17,0.9810,1.0420,6.22,50,2021,5~10%
97,sh512200,房地产ETF,2021-12-13,2021-12-31,2.2010,2.2320,1.41,15,2021,0~5%
98,sz159745,建材ETF,2021-12-20,2021-12-31,0.9690,0.9980,2.99,10,2021,0~5%
99,sh515100,红利低波100ETF,2021-12-20,2022-01-28,0.9240,0.9450,2.27,29,2021,0~5%
100,sh512200,房地产ETF,2022-01-04,2022-01-28,2.2320,2.2060,-1.16,19,2022,-5~0%
101,sz159745,建材ETF,2022-01-04,2022-01-28,0.9980,0.9470,-5.11,19,2022,-10~-5%
102,sh513690,港股红利ETF博时,2022-02-07,2022-02-28,0.8890,0.8390,-5.62,16,2022,-10~-5%
103,sz159608,稀有金属ETF,2022-02-14,2022-02-28,0.8800,1.0440,18.64,11,2022,10~20%
104,sh510880,红利ETF华泰柏瑞,2022-03-07,2022-04-29,2.4210,2.3230,-4.05,38,2022,-5~0%
105,sh515220,煤炭ETF,2022-03-07,2022-04-29,1.0340,0.9810,-5.13,38,2022,-10~-5%
106,sh513360,教育ETF博时,2022-05-05,2022-05-31,0.3220,0.3340,3.73,19,2022,0~5%
107,sh513050,中概互联网ETF易方达,2022-05-09,2022-05-31,0.9720,1.0720,10.29,17,2022,10~20%
108,sz159919,沪深300ETF嘉实,2022-06-06,2022-06-30,3.9120,4.3460,11.09,19,2022,10~20%
109,sh516160,新能源ETF,2022-06-06,2022-08-05,3.6260,4.0630,12.05,45,2022,10~20%
110,sz159605,中概互联ETF,2022-08-08,2022-08-31,0.7610,0.8100,6.44,18,2022,5~10%
111,sh512100,中证1000ETF,2022-07-04,2022-09-01,2.7230,2.6080,-4.22,44,2022,-5~0%
112,sz159980,有色ETF大成,2022-02-07,2022-10-31,1.5580,1.4210,-8.79,179,2022,-10~-5%
113,sz159852,软件ETF,2022-10-17,2022-10-31,0.7630,0.8540,11.93,11,2022,10~20%
114,sh515230,软件ETF,2022-10-17,2022-10-31,0.7230,0.8150,12.72,11,2022,10~20%
115,sh512200,房地产ETF,2022-11-07,2022-11-30,1.8130,2.2060,21.68,18,2022,20~30%
116,sh510500,中证500ETF,2022-11-07,2022-11-30,5.9140,6.0000,1.45,18,2022,0~5%
117,sh513600,恒生指数ETF南方,2022-11-07,2022-11-30,1.7370,2.0350,17.16,18,2022,10~20%
118,sz159919,沪深300ETF嘉实,2022-12-05,2022-12-30,3.8150,3.7620,-1.39,20,2022,-5~0%
119,sh510330,沪深300ETF华夏,2022-12-05,2022-12-30,3.7930,3.7470,-1.21,20,2022,-5~0%
