stock_code,data_points,date_start,date_end,best_C,best_gamma,is_accuracy,is_precision,is_recall,oos_trades,oos_win_rate,oos_total_return_pct,oos_avg_return_pct,oos_max_drawdown_pct,oos_accuracy,oos_precision,oos_recall
000796,2172,2015-07-23,2025-07-21,100.0000,0.0050,74.23,58.21,74.21,100,40.00,-19.88,-0.20,40.72,53.51,32.06,40.52
000797,2413,2015-07-21,2025-07-21,10.0000,0.0100,78.58,45.68,76.43,83,38.55,-3.39,-0.04,26.33,66.20,35.75,31.10
000798,2430,2015-07-21,2025-07-21,1.0000,0.0500,79.59,63.53,65.59,110,41.82,-12.84,-0.12,38.26,59.32,36.65,29.02
000799,2368,2015-10-23,2025-07-21,100.0000,0.0100,79.61,72.48,78.69,113,35.40,-53.44,-0.47,65.17,57.07,22.74,42.35
000800,2419,2015-07-21,2025-07-21,100.0000,0.1000,100.00,100.00,100.00,62,45.16,-13.39,-0.22,26.13,70.96,11.64,17.19
000801,2420,2015-07-21,2025-07-21,10.0000,0.0500,90.99,73.83,95.47,102,40.20,13.85,0.14,37.17,61.70,38.37,33.00
000802,2370,2015-07-21,2025-07-21,10.0000,0.0500,93.12,83.48,88.79,79,46.84,-6.53,-0.08,45.87,65.87,37.38,29.39
000803,2136,2015-07-21,2025-07-21,100.0000,0.0100,86.68,77.82,86.31,87,39.08,-34.42,-0.40,72.31,58.52,31.15,41.67
000807,2403,2015-07-21,2025-07-21,10.0000,0.0500,90.64,84.74,91.65,113,43.36,-14.19,-0.13,52.79,53.96,29.38,36.62
000809,2421,2015-07-21,2025-07-21,10.0000,0.1000,99.36,96.30,100.00,50,42.00,9.25,0.18,25.69,62.81,29.46,10.86
000810,2355,2015-07-21,2025-07-21,10.0000,0.0500,91.68,81.11,92.64,120,41.67,-2.45,-0.02,62.26,54.16,36.90,37.46
000811,2430,2015-07-21,2025-07-21,10.0000,0.0500,90.25,76.20,93.83,110,40.91,-41.59,-0.38,47.28,59.43,34.25,40.00
000812,2143,2015-11-26,2025-07-21,1.0000,0.0500,78.28,57.91,76.25,91,38.46,-49.14,-0.54,56.13,58.67,29.58,37.00
000813,2300,2016-01-15,2025-07-21,10.0000,0.1000,98.36,93.19,100.00,80,45.00,9.00,0.11,49.74,62.78,22.12,24.27
000815,2419,2015-07-21,2025-07-21,100.0000,0.0500,99.15,96.80,100.00,98,39.80,-27.93,-0.28,48.93,57.13,37.28,24.64
000816,2417,2015-07-21,2025-07-21,10.0000,0.0500,92.47,76.66,91.41,78,37.18,-31.69,-0.41,60.02,66.03,37.13,28.09
000818,2231,2015-09-17,2025-07-21,100.0000,0.0500,98.84,97.02,99.53,90,41.11,-18.41,-0.20,41.62,60.81,27.56,31.11
000819,2430,2015-07-21,2025-07-21,10.0000,0.0050,69.42,40.10,72.41,139,41.01,-14.94,-0.11,59.19,50.74,33.40,55.33
000820,2213,2015-09-11,2025-07-21,0.1000,0.1000,58.52,45.91,80.69,138,43.48,-18.43,-0.13,51.45,46.50,34.21,56.29
000821,2285,2015-07-21,2025-07-21,100.0000,0.1000,100.00,100.00,100.00,113,42.48,70.24,0.62,42.76,61.63,37.30,32.73
000822,2430,2015-07-21,2025-07-21,100.0000,0.0100,84.60,66.74,84.39,96,42.71,4.71,0.05,35.68,67.48,29.07,45.16
000823,2430,2015-07-21,2025-07-21,10.0000,0.0500,90.11,76.27,94.24,96,46.88,30.06,0.31,35.86,61.76,19.41,33.71
000825,2322,2015-07-21,2025-07-21,10.0000,0.0500,91.12,76.82,90.49,70,40.00,-40.16,-0.57,51.63,66.37,10.76,25.47
000826,2389,2015-07-21,2025-07-21,10.0000,0.0100,79.65,40.36,76.81,99,45.45,96.16,0.97,19.95,57.76,32.79,45.66
000828,2430,2015-07-21,2025-07-21,100.0000,0.0100,83.83,50.61,88.03,72,45.83,-16.37,-0.23,36.45,65.57,12.06,30.63
000829,2191,2015-07-21,2025-07-21,100.0000,0.0100,81.68,70.44,76.02,98,43.88,46.70,0.48,33.41,55.01,35.53,36.73
000830,2420,2015-07-21,2025-07-21,10.0000,0.0100,73.62,53.47,78.26,65,40.00,-16.17,-0.25,36.57,70.96,22.86,40.00
000831,2428,2015-07-21,2025-07-21,1.0000,0.0500,76.66,62.21,66.67,102,43.14,80.51,0.79,45.97,62.71,37.70,41.52
000833,2365,2015-07-21,2025-07-21,1.0000,0.0500,82.28,53.28,70.04,102,46.08,26.15,0.26,48.16,65.36,38.03,47.35
000837,2428,2015-07-21,2025-07-21,100.0000,0.0100,84.79,63.01,81.48,97,43.30,22.64,0.23,43.19,55.61,30.18,28.10
000838,2322,2015-07-21,2025-07-21,100.0000,0.0100,83.57,59.18,78.91,121,42.98,38.55,0.32,50.83,55.60,42.12,42.61
000839,2321,2015-12-28,2025-07-21,1.0000,0.1000,80.74,60.76,82.29,91,43.96,22.16,0.24,32.14,64.59,29.76,42.57
000848,2430,2015-07-21,2025-07-21,1.0000,0.1000,86.79,60.51,87.73,89,44.94,20.17,0.23,31.95,65.15,20.30,32.74
000850,2341,2015-12-02,2025-07-21,100.0000,0.0100,86.27,56.30,89.74,91,46.15,4.19,0.05,33.95,55.12,18.18,42.94
000851,2325,2015-07-21,2025-07-21,1.0000,0.1000,87.95,73.76,85.71,102,47.06,88.57,0.87,40.71,62.86,40.94,43.42
000852,2430,2015-07-21,2025-07-21,100.0000,0.0100,83.83,64.81,82.29,79,46.84,15.40,0.19,37.90,64.30,26.70,20.56
000856,2419,2015-07-21,2025-07-21,10.0000,0.0500,91.63,80.31,92.91,91,50.55,129.41,1.42,22.58,65.53,42.62,36.11
000858,2370,2015-07-21,2025-07-21,1.0000,0.1000,83.26,69.52,83.72,67,37.31,-18.84,-0.28,28.25,72.50,22.22,28.38
000859,2411,2015-07-21,2025-07-21,100.0000,0.0500,98.36,93.72,100.00,94,43.62,-20.56,-0.22,53.45,58.16,22.90,24.00
000860,2430,2015-07-21,2025-07-21,100.0000,0.0100,85.24,68.60,91.30,121,38.84,-35.72,-0.30,63.13,54.87,29.33,55.00
000862,2251,2015-08-18,2025-07-21,1.0000,0.0500,76.53,57.83,70.18,82,51.22,113.12,1.38,28.95,66.21,34.41,46.15
000863,2414,2015-07-24,2025-07-21,100.0000,0.0100,88.83,61.84,95.14,131,38.93,-25.46,-0.19,47.94,50.43,33.27,54.15
000868,2416,2015-07-21,2025-07-21,1.0000,0.1000,87.06,72.19,85.38,82,46.34,106.15,1.29,52.72,60.06,35.05,24.12
000869,2430,2015-07-21,2025-07-21,10.0000,0.0100,74.79,39.29,87.19,62,43.55,-33.18,-0.54,39.81,67.69,4.21,16.67
000875,2416,2015-07-21,2025-07-21,100.0000,0.0500,99.86,99.25,100.00,84,42.86,15.85,0.19,41.00,69.97,25.60,29.28
000876,2295,2015-07-21,2025-07-21,100.0000,0.0050,80.45,53.72,87.54,68,41.18,-25.93,-0.38,31.58,68.99,19.84,42.15
000877,2398,2015-07-21,2025-07-21,10.0000,0.0500,91.55,81.63,92.87,68,41.18,-26.46,-0.39,32.73,74.25,22.94,40.98
000878,2369,2015-09-08,2025-07-21,100.0000,0.0100,80.06,58.38,83.70,77,48.05,27.33,0.35,21.86,59.46,14.65,30.46
000880,2420,2015-07-21,2025-07-21,10.0000,0.0500,93.69,75.74,97.34,80,47.50,62.50,0.78,31.53,60.00,34.96,25.65
000881,2318,2015-12-15,2025-07-21,100.0000,0.0500,99.78,99.09,100.00,86,48.84,30.87,0.36,23.73,62.44,17.44,31.61
000882,2353,2015-10-28,2025-07-21,100.0000,0.0050,86.49,51.88,84.26,65,44.62,7.97,0.12,41.01,65.54,21.15,22.56
000883,2430,2015-07-21,2025-07-21,100.0000,0.0100,92.44,47.18,95.83,46,56.52,95.64,2.08,15.39,76.38,14.07,15.08
000885,2356,2015-07-21,2025-07-21,10.0000,0.0100,72.28,46.07,78.81,85,47.06,0.55,0.01,41.05,59.23,14.20,32.62
000886,2430,2015-07-21,2025-07-21,100.0000,0.0500,99.72,98.87,100.00,86,38.37,-24.76,-0.29,40.64,63.77,29.76,23.55
000887,2253,2015-10-19,2025-07-21,100.0000,0.0100,83.27,65.34,85.52,111,38.74,-33.35,-0.30,66.49,57.32,29.41,39.58
000888,2430,2015-07-21,2025-07-21,100.0000,0.0100,89.05,50.82,96.88,50,48.00,51.09,1.02,26.65,71.61,33.06,17.62
000889,2265,2015-08-04,2025-07-21,10.0000,0.1000,99.16,96.50,100.00,83,44.58,20.22,0.24,32.35,55.01,31.28,20.89
000890,2319,2015-09-24,2025-07-21,1.0000,0.1000,87.40,74.04,80.67,97,52.58,208.05,2.14,37.43,59.44,29.69,29.12
000892,2363,2015-09-23,2025-07-21,10.0000,0.0050,72.00,45.14,69.25,139,47.48,141.29,1.02,39.61,48.58,37.58,48.74
000893,2259,2015-07-21,2025-07-21,10.0000,0.0500,91.39,81.78,92.23,111,51.35,136.17,1.23,36.97,60.62,32.86,37.50
000895,2415,2015-07-21,2025-07-21,10.0000,0.1000,99.72,98.58,100.00,53,47.17,-12.19,-0.23,39.62,79.21,6.80,14.71
000897,2428,2015-07-21,2025-07-21,10.0000,0.0500,96.04,84.64,98.25,70,42.86,6.21,0.09,26.06,66.63,27.62,26.24
000898,2429,2015-07-21,2025-07-21,100.0000,0.0100,81.34,54.83,88.82,83,38.55,-25.37,-0.31,44.24,65.47,13.26,30.58
000899,2405,2015-07-21,2025-07-21,100.0000,0.0500,98.93,93.21,100.00,50,48.00,45.17,0.90,20.20,66.60,26.92,10.61
000900,2287,2015-07-21,2025-07-21,1.0000,0.0500,81.65,26.63,92.47,49,53.06,39.54,0.81,12.97,69.90,10.31,25.56
000901,2301,2015-07-21,2025-07-21,10.0000,0.0500,94.39,79.17,96.11,70,51.43,55.66,0.80,32.92,71.44,30.05,30.22
000902,2425,2015-07-21,2025-07-21,1.0000,0.0500,78.34,50.00,82.03,66,36.36,-34.13,-0.52,44.30,73.25,22.17,37.98
000903,2341,2015-07-27,2025-07-21,100.0000,0.0500,98.60,94.54,100.00,103,45.63,39.73,0.39,27.14,65.13,36.00,36.44
