code,name,trades,wins,win_rate,annualized
000852,石化机械,12,5,41.67,-3.13
000856,冀东装备,11,6,54.55,-7.58
000858,五 粮 液,10,1,10.00,-21.96
000859,国风新材,13,5,38.46,-9.17
000860,顺鑫农业,10,3,30.00,-15.24
000862,银星能源,9,2,22.22,-5.97
000863,三湘印象,8,2,25.00,-21.46
000868,安凯客车,18,7,38.89,-0.78
000869,张  裕Ａ,9,2,22.22,-6.06
000875,吉电股份,17,5,29.41,-5.74
000876,新 希 望,6,1,16.67,-5.11
000877,天山股份,12,3,25.00,-5.28
000878,云南铜业,17,5,29.41,-4.69
000880,潍柴重机,12,6,50.00,15.25
000881,中广核技,9,3,33.33,1.53
000882,华联股份,7,0,0.00,-7.86
000883,湖北能源,9,2,22.22,-7.50
000885,城发环境,17,3,17.65,-9.16
000886,海南高速,16,5,31.25,-3.27
000887,中鼎股份,12,6,50.00,10.42
000888,峨眉山Ａ,25,7,28.00,-4.95
000889,中嘉博创,3,1,33.33,3.76
000890,法尔胜,7,1,14.29,-3.57
000892,欢瑞世纪,11,3,27.27,-6.85
000893,亚钾国际,18,8,44.44,13.32
000895,双汇发展,8,3,37.50,-1.52
000897,津滨发展,10,2,20.00,-13.69
000898,鞍钢股份,5,0,0.00,-33.69
000899,赣能股份,16,7,43.75,10.42
000900,现代投资,13,3,23.08,-6.62
000901,航天科技,11,3,27.27,-4.86
000902,新洋丰,14,3,21.43,-11.47
000903,云内动力,9,3,33.33,4.67
000905,厦门港务,19,2,10.53,-19.13
000906,浙商中拓,6,4,66.67,31.69
000908,ST景峰,6,4,66.67,5.82
000909,ST数源,9,2,22.22,-9.47
000910,大亚圣象,6,2,33.33,-0.45
000911,广农糖业,14,5,35.71,-8.54
000912,泸天化,10,2,20.00,-5.64
000913,钱江摩托,17,5,29.41,-0.07
000915,华特达因,16,4,25.00,-7.88
000917,电广传媒,13,4,30.77,-8.89
000919,金陵药业,11,3,27.27,-6.02
000920,沃顿科技,18,6,33.33,-3.48
000921,海信家电,15,7,46.67,4.32
000922,佳电股份,11,5,45.45,3.35
000923,河钢资源,8,2,25.00,-7.74
000925,众合科技,12,5,41.67,-0.90
000926,福星股份,2,0,0.00,-0.86
000927,中国铁物,2,1,50.00,11.52
000928,中钢国际,6,2,33.33,-9.67
000929,*ST兰黄,13,5,38.46,4.44
000930,中粮科技,12,4,33.33,2.74
000931,中 关 村,4,1,25.00,-19.25
000932,华菱钢铁,12,2,16.67,-4.78
000933,神火股份,22,10,45.45,17.68
000935,四川双马,9,3,33.33,-14.52
000936,华西股份,11,4,36.36,-3.73
000937,冀中能源,20,7,35.00,-5.72
000938,紫光股份,7,4,57.14,0.23
000948,南天信息,20,4,20.00,-2.02
000949,新乡化纤,18,4,22.22,-13.83
000950,重药控股,4,1,25.00,1.08
000951,中国重汽,11,5,45.45,4.55
000952,广济药业,3,1,33.33,-1.77
000953,河化股份,10,2,20.00,-15.40
000955,欣龙控股,7,3,42.86,11.21
000957,中通客车,13,4,30.77,9.33
000958,电投产融,8,3,37.50,-4.75
000959,首钢股份,12,3,25.00,-7.61
