seq,asset_code,asset_name,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,reason
104,600030,中信证券,2020-03-16,2020-06-02,23.8900,23.0500,-3.52,52,区间切换
105,sz159901,深证100ETF易方达,2020-06-08,2020-06-16,2.7000,2.7240,0.89,7,区间切换
106,sz159919,沪深300ETF嘉实,2020-06-08,2020-06-16,3.6940,3.6560,-1.03,7,区间切换
107,sh510330,沪深300ETF华夏,2020-06-08,2020-06-16,3.6640,3.6340,-0.82,7,区间切换
108,600030,中信证券,2020-06-16,2020-06-17,22.8200,22.8300,0.04,1,区间切换
109,sz159901,深证100ETF易方达,2020-06-22,2020-07-07,2.8250,3.2220,14.05,10,区间切换
110,sz159919,沪深300ETF嘉实,2020-06-22,2020-07-07,3.7610,4.5540,21.08,10,区间切换
111,sh510330,沪深300ETF华夏,2020-06-22,2020-07-07,3.7460,4.4620,19.11,10,区间切换
112,513100,纳指ETF,2020-07-07,2020-07-27,0.7730,0.7660,-0.91,14,区间切换
113,513100,纳指ETF,2020-07-28,2022-03-16,0.7770,0.8740,12.48,396,区间切换
114,513100,纳指ETF,2022-03-18,2022-04-12,0.9090,0.9100,0.11,15,区间切换
115,513100,纳指ETF,2022-04-13,2022-04-14,0.9120,0.9270,1.64,1,区间切换
116,513100,纳指ETF,2022-04-15,2022-04-19,0.9060,0.9090,0.33,2,区间切换
117,sh513360,教育ETF博时,2022-04-25,2022-04-27,0.3100,0.2900,-6.45,3,区间切换
118,600030,中信证券,2022-04-27,2022-04-28,18.1000,18.6500,3.04,1,区间切换
119,sh513360,教育ETF博时,2022-05-05,2022-05-31,0.3220,0.3340,3.73,19,MACD卖出
120,sh513050,中概互联网ETF易方达,2022-05-09,2022-05-31,0.9720,1.0720,10.29,17,MACD卖出
121,sh513070,港股通消费ETF易方达,2022-05-09,2022-06-07,0.9660,1.0910,12.94,21,区间切换
122,sh516160,新能源ETF,2022-06-06,2022-06-07,3.6260,3.8430,5.98,2,区间切换
123,sz159919,沪深300ETF嘉实,2022-06-06,2022-06-07,3.9120,3.9860,1.89,2,区间切换
124,513100,纳指ETF,2022-06-07,2022-08-03,0.8560,0.8860,3.50,41,区间切换
125,sz159605,中概互联ETF,2022-08-08,2022-08-08,0.7610,0.7610,0.00,1,区间切换
126,sz159607,中概互联网ETF嘉实,2022-08-08,2022-08-08,0.7650,0.7650,0.00,1,区间切换
127,sh513520,日经ETF,2022-08-08,2022-08-08,1.0700,1.0700,0.00,1,区间切换
128,513100,纳指ETF,2022-08-08,2022-09-02,0.9070,0.8630,-4.85,19,区间切换
129,513100,纳指ETF,2022-09-07,2022-09-16,0.8480,0.8450,-0.35,6,区间切换
130,sz159852,软件ETF,2022-10-17,2022-10-31,0.7630,0.8540,11.93,11,MACD卖出
131,sh515230,软件ETF,2022-10-17,2022-10-31,0.7230,0.8150,12.72,11,MACD卖出
132,sh513290,纳指生物科技ETF汇添富,2022-10-17,2022-11-01,0.9980,1.0880,9.02,12,区间切换
133,600030,中信证券,2022-11-01,2022-11-02,17.2800,17.7000,2.43,1,区间切换
134,sh512200,房地产ETF,2022-11-07,2022-11-30,1.8130,2.2060,21.68,18,MACD卖出
135,sh510500,中证500ETF,2022-11-07,2022-11-30,5.9140,6.0000,1.45,18,MACD卖出
136,sh513600,恒生指数ETF南方,2022-11-07,2022-11-30,1.7370,2.0350,17.16,18,MACD卖出
137,sz159919,沪深300ETF嘉实,2022-12-05,2022-12-06,3.8150,3.8100,-0.13,2,区间切换
138,sh510330,沪深300ETF华夏,2022-12-05,2022-12-06,3.7930,3.8040,0.29,2,区间切换
139,sh510300,沪深300ETF华泰柏瑞,2022-12-05,2022-12-06,3.6300,3.6480,0.50,2,区间切换
140,513100,纳指ETF,2022-12-06,2022-12-08,0.8420,0.8300,-1.43,2,区间切换
141,sz159919,沪深300ETF嘉实,2022-12-12,2022-12-12,3.8710,3.8710,0.00,1,区间切换
142,sh510330,沪深300ETF华夏,2022-12-12,2022-12-12,3.8640,3.8640,0.00,1,区间切换
143,sh510300,沪深300ETF华泰柏瑞,2022-12-12,2022-12-12,3.7010,3.7010,0.00,1,区间切换
144,513100,纳指ETF,2022-12-12,2022-12-13,0.8250,0.8330,0.97,1,区间切换
145,sz159919,沪深300ETF嘉实,2022-12-19,2022-12-30,3.8360,3.7620,-1.93,10,MACD卖出
146,sh510330,沪深300ETF华夏,2022-12-19,2022-12-30,3.8370,3.7470,-2.35,10,MACD卖出
147,sh510300,沪深300ETF华泰柏瑞,2022-12-19,2022-12-30,3.6780,3.5930,-2.31,10,MACD卖出
148,sz159919,沪深300ETF嘉实,2023-01-03,2023-01-17,3.7620,4.0260,7.02,11,区间切换
149,sh510330,沪深300ETF华夏,2023-01-03,2023-01-17,3.7470,4.0150,7.15,11,区间切换
150,sh510300,沪深300ETF华泰柏瑞,2023-01-03,2023-01-17,3.5930,3.8630,7.51,11,区间切换
151,513100,纳指ETF,2023-01-17,2023-06-07,0.8160,1.0500,28.68,92,区间切换
152,513100,纳指ETF,2023-06-09,2023-06-26,1.0450,1.0910,4.40,9,区间切换
153,sz159659,纳斯达克100ETF,2023-07-03,2023-07-03,1.2190,1.2190,0.00,1,区间切换
154,sh513650,标普500ETF南方,2023-07-03,2023-07-03,1.1660,1.1660,0.00,1,区间切换
155,sh513660,恒生ETF,2023-07-03,2023-07-03,2.2060,2.2060,0.00,1,区间切换
156,513100,纳指ETF,2023-07-03,2023-07-10,1.1160,1.1010,-1.34,5,区间切换
157,513100,纳指ETF,2023-07-11,2023-07-13,1.1000,1.1130,1.18,2,区间切换
158,513100,纳指ETF,2023-07-14,2023-07-19,1.1290,1.1530,2.13,3,区间切换
159,sh512200,房地产ETF,2023-07-24,2023-07-26,1.7540,1.8380,4.79,3,区间切换
160,sh510050,上证50ETF,2023-07-24,2023-07-26,2.3940,2.4760,3.43,3,区间切换
161,sh510100,上证50ETF易方达,2023-07-24,2023-07-26,2.3170,2.3830,2.85,3,区间切换
162,513100,纳指ETF,2023-07-26,2023-08-14,1.1300,1.1040,-2.30,13,区间切换
163,sz159859,生物医药ETF,2023-08-21,2023-08-31,0.4690,0.4700,0.21,9,MACD卖出
164,sz159992,创新药ETF,2023-09-04,2023-09-28,0.8000,0.8460,5.75,19,MACD卖出
165,sh515120,创新药ETF,2023-09-04,2023-09-28,0.5930,0.6300,6.24,19,MACD卖出
166,sz159992,创新药ETF,2023-10-09,2023-10-31,0.8460,0.8800,4.02,17,MACD卖出
167,sh515120,创新药ETF,2023-10-09,2023-10-31,0.6300,0.6570,4.29,17,MACD卖出
168,sz159509,纳指科技ETF景顺,2023-11-06,2023-11-30,0.9540,1.0220,7.13,19,MACD卖出
169,sh515220,煤炭ETF,2023-09-04,2023-12-27,0.9820,1.0720,9.16,77,区间切换
170,sz159659,纳斯达克100ETF,2023-11-06,2023-12-27,1.1880,1.3200,11.11,38,区间切换
171,sh513290,纳指生物科技ETF汇添富,2023-12-04,2023-12-27,1.0230,1.1360,11.05,18,区间切换
172,600030,中信证券,2023-12-27,2023-12-28,19.8300,19.8300,0.00,1,区间切换
173,sh513290,纳指生物科技ETF汇添富,2024-01-02,2024-01-09,1.1310,1.1830,4.60,6,区间切换
174,sh513520,日经ETF,2024-01-02,2024-01-09,1.3080,1.3470,2.98,6,区间切换
175,sz159513,纳斯达克100ETF大成,2024-01-02,2024-01-09,1.0220,1.0200,-0.20,6,区间切换
176,600030,中信证券,2024-01-09,2024-01-26,19.4200,20.4000,5.05,13,区间切换
177,sh512700,银行ETF南方,2024-01-29,2024-01-30,1.0630,1.0710,0.75,2,区间切换
178,sh512820,银行ETF汇添富,2024-01-29,2024-01-30,0.9340,0.9360,0.21,2,区间切换
179,sz159887,银行ETF,2024-01-29,2024-01-30,0.9100,0.9130,0.33,2,区间切换
180,600030,中信证券,2024-01-30,2024-02-20,20.4500,20.7300,1.37,9,区间切换
181,sh516160,新能源ETF,2024-02-26,2024-02-29,1.9180,1.9770,3.08,4,MACD卖出
182,sh510050,上证50ETF,2024-02-26,2024-02-29,2.3290,2.3050,-1.03,4,MACD卖出
183,sz159562,黄金股ETF,2024-03-04,2024-04-01,1.0760,1.4460,34.39,21,MACD卖出
184,sh513040,港股通互联网ETF易方达,2024-04-08,2024-04-30,0.8770,1.0280,17.22,17,MACD卖出
185,sh513040,港股通互联网ETF易方达,2024-05-06,2024-05-31,1.0280,0.9730,-5.35,20,MACD卖出
186,sh510880,红利ETF华泰柏瑞,2024-02-26,2024-06-14,2.8660,2.9300,2.23,74,MACD卖出
187,sz159834,金ETF南方,2024-03-04,2024-07-26,4.9260,5.5630,12.93,99,区间切换
188,sh513910,港股央企红利ETF,2024-06-03,2024-07-26,1.1490,1.1130,-3.13,39,区间切换
189,sh513290,纳指生物科技ETF汇添富,2024-06-17,2024-07-26,1.1910,1.3040,9.49,30,区间切换
190,600030,中信证券,2024-07-26,2024-08-01,18.9200,19.5500,3.33,4,区间切换
