stock_code,data_points,date_start,date_end,length0,p1,p2,p3,in_sample_return_pct,out_of_sample_return_pct,full_return_pct
000617,2321,2015-07-21,2025-07-21,5,2,11,15,-30.11,86.52,47.91
000619,2390,2015-07-21,2025-07-21,6,2,15,6,22.33,45.29,67.23
000620,2420,2015-07-21,2025-07-21,3,3,13,7,24.74,50.51,75.74
000622,2303,2015-10-09,2025-07-15,4,2,10,15,99.96,23.49,118.21
000623,2429,2015-07-21,2025-07-21,11,11,13,15,-26.12,24.25,-2.55
000625,2410,2015-07-21,2025-07-21,4,3,2,4,89.58,50.70,149.25
000626,2312,2015-07-21,2025-07-21,5,5,13,7,98.00,-0.66,102.73
000627,2360,2015-07-21,2025-07-21,3,2,2,12,64.49,-26.88,33.22
000628,2396,2015-08-24,2025-07-21,7,12,10,7,-26.38,203.10,183.54
000629,2020,2015-07-21,2025-07-21,5,2,5,11,93.20,66.83,157.98
000630,2359,2015-10-23,2025-07-21,7,13,15,14,79.64,-27.89,37.74
000631,2430,2015-07-21,2025-07-21,4,5,14,9,4.03,-15.91,-10.58
000632,2430,2015-07-21,2025-07-21,12,9,11,14,40.92,-12.47,32.23
000633,2135,2015-07-21,2025-07-21,3,4,7,2,35.05,-19.40,12.70
000635,2355,2015-07-21,2025-07-21,15,14,7,10,108.61,-30.38,31.36
000636,2343,2015-07-21,2025-07-21,11,5,2,4,159.57,-55.58,104.63
000637,2428,2015-07-21,2025-07-21,12,7,10,6,-9.02,-4.62,-11.15
000638,2150,2015-07-21,2025-07-21,4,3,11,8,54.43,42.90,97.71
000639,2342,2015-07-21,2025-07-21,6,3,4,14,71.07,-24.93,42.14
000650,2393,2015-09-14,2025-07-21,11,15,7,2,64.57,-34.79,28.06
000651,2273,2015-07-21,2025-07-21,9,14,15,11,103.57,30.36,131.57
000652,2428,2015-07-21,2025-07-21,5,7,8,12,121.18,23.26,148.59
000655,2396,2015-08-24,2025-07-21,7,2,10,10,121.05,32.25,156.21
000656,2353,2015-07-21,2025-07-21,15,2,4,10,22.58,-47.73,-31.76
000657,2283,2015-07-21,2025-07-21,8,15,10,3,54.44,143.96,189.32
000659,2327,2015-09-08,2025-07-21,7,11,2,2,174.25,2.50,112.50
000661,2415,2015-07-21,2025-07-21,15,11,15,6,68.96,-87.23,-31.98
000663,2386,2015-07-24,2025-07-21,3,5,3,15,145.83,9.53,163.37
000665,2374,2015-09-23,2025-07-21,3,3,2,2,26.67,89.52,120.31
000668,2360,2015-10-21,2025-07-21,15,15,8,11,99.23,17.09,117.40
000669,2312,2015-07-23,2025-07-21,7,9,9,2,60.31,22.76,70.92
000670,1703,2015-07-21,2025-07-21,3,5,11,7,979.55,22.75,574.88
000672,2358,2015-09-29,2025-07-21,15,15,4,15,136.97,5.47,146.61
000676,2300,2015-10-09,2025-07-21,6,15,8,6,-68.14,25.43,-40.69
000677,2276,2015-09-28,2025-07-21,13,3,8,13,-1.47,2.05,-17.43
000678,2388,2015-07-21,2025-07-21,3,2,12,12,58.92,132.35,191.81
000679,2327,2015-12-04,2025-07-21,15,6,11,11,31.82,30.55,42.51
000680,2430,2015-07-21,2025-07-21,4,5,2,5,52.56,21.54,77.23
000681,2420,2015-07-21,2025-07-21,11,2,9,13,-24.09,69.58,45.49
000682,2220,2015-07-21,2025-07-21,4,9,8,3,19.18,35.06,48.98
000683,2410,2015-08-18,2025-07-21,9,14,15,13,366.17,-0.34,153.64
000685,2430,2015-07-21,2025-07-21,5,3,6,6,-50.50,0.84,-49.65
000686,2424,2015-07-21,2025-07-21,4,15,14,11,43.28,23.30,55.73
000688,2207,2015-12-08,2025-07-21,4,4,12,2,145.58,13.55,142.58
000690,2396,2015-07-21,2025-07-21,3,3,8,6,103.37,19.82,125.88
000691,2400,2015-08-19,2025-07-21,3,2,3,12,111.18,-0.55,110.48
000692,2428,2015-07-21,2025-07-21,5,5,6,15,21.12,33.40,52.64
000695,2333,2015-07-21,2025-07-21,3,6,7,15,70.93,29.30,77.43
000697,2280,2015-09-15,2025-07-21,3,2,8,4,78.21,35.13,107.63
000698,2430,2015-07-21,2025-07-21,3,2,6,13,100.29,15.60,116.39
000700,2390,2015-07-21,2025-07-21,7,13,2,11,117.18,34.29,154.57
000701,2430,2015-07-21,2025-07-21,3,2,15,12,38.56,-66.11,-29.16
000702,2425,2015-07-21,2025-07-21,3,3,12,3,-15.27,48.66,30.10
000703,2361,2015-07-21,2025-07-21,13,2,8,13,80.66,-5.99,70.57
000705,2430,2015-07-21,2025-07-21,4,7,11,2,28.67,71.07,98.00
000707,2340,2015-10-29,2025-07-21,13,13,15,3,405.40,38.16,183.52
000708,2366,2015-10-20,2025-07-21,13,10,7,11,93.78,-37.00,53.70
000709,2406,2015-08-24,2025-07-21,15,15,11,14,26.26,-38.84,-10.42
000710,2291,2015-07-21,2025-07-21,3,4,6,10,189.55,78.24,259.38
000711,2047,2015-10-22,2025-07-21,15,14,2,7,-6.75,-72.24,-119.84
000712,2341,2015-10-16,2025-07-21,11,3,6,14,17.85,-13.51,-1.35
000713,2389,2015-07-21,2025-07-21,9,6,8,15,122.52,-54.66,60.31
000715,2419,2015-07-21,2025-07-21,4,2,5,10,77.01,51.01,120.25
000716,2220,2015-08-03,2025-07-21,3,3,13,11,33.35,111.16,140.00
000717,2343,2015-07-21,2025-07-21,6,5,15,3,138.73,63.76,188.16
000718,2291,2015-07-21,2025-07-21,5,5,6,6,128.49,-8.66,107.67
000719,2379,2015-07-21,2025-07-21,15,3,2,11,-9.83,7.06,-2.77
000720,2211,2015-09-10,2025-07-21,15,14,7,3,67.57,56.87,62.99
000721,2418,2015-07-24,2025-07-21,4,3,8,15,136.86,80.34,217.20
000722,2420,2015-07-21,2025-07-21,4,2,10,2,45.23,-8.32,35.23
000723,2282,2015-07-21,2025-07-21,4,5,3,10,193.86,20.11,213.19
000725,2430,2015-07-21,2025-07-21,15,13,7,11,105.69,-23.95,80.55
000726,2430,2015-07-21,2025-07-21,9,3,10,8,-33.12,9.52,-23.60
000727,2363,2015-07-21,2025-07-21,5,3,4,4,24.65,21.55,48.50
000728,2404,2015-07-21,2025-07-21,3,10,5,7,48.33,65.13,110.60
000729,2430,2015-07-21,2025-07-21,3,3,9,5,68.07,21.39,86.35
000731,2430,2015-07-21,2025-07-21,3,10,15,14,43.39,-2.21,33.79
000733,2409,2015-07-21,2025-07-21,7,15,15,15,189.39,-42.92,118.21
000735,2422,2015-07-21,2025-07-21,3,15,2,2,25.47,12.28,40.42
000736,2344,2015-07-21,2025-07-21,7,12,4,14,26.29,113.02,131.06
000737,2396,2015-07-21,2025-07-21,9,15,5,15,208.92,49.11,183.39
000738,2426,2015-07-21,2025-07-21,7,2,6,15,72.00,7.29,65.78
000739,2430,2015-07-21,2025-07-21,15,15,15,15,141.69,-38.95,110.09
000750,2392,2015-07-21,2025-07-21,6,2,15,12,38.85,24.33,65.78
000751,2408,2015-07-21,2025-07-21,4,9,11,3,25.97,-3.78,11.06
000752,2364,2015-07-21,2025-07-21,3,7,3,7,92.85,26.34,113.31
000753,2405,2015-07-21,2025-07-21,11,14,15,14,-35.20,42.60,7.71
000755,2174,2015-07-21,2025-07-21,4,4,15,5,101.74,-55.88,34.51
000756,2368,2015-07-21,2025-07-21,5,5,5,15,95.49,106.42,200.64
000757,2158,2015-07-21,2025-07-21,7,3,14,11,28.75,52.04,63.49
000758,2420,2015-07-21,2025-07-21,3,2,15,13,13.47,46.31,55.99
000759,2430,2015-07-21,2025-07-21,3,3,2,14,-10.02,90.02,79.59
000761,2423,2015-07-21,2025-07-21,15,15,12,13,124.44,-26.69,52.80
000762,2430,2015-07-21,2025-07-21,11,8,6,3,329.51,-3.98,257.26
000766,2103,2015-08-27,2025-07-21,3,9,11,6,139.25,116.55,254.64
000767,2428,2015-07-21,2025-07-21,3,2,14,6,38.82,44.34,79.42
000768,2425,2015-07-21,2025-07-21,8,3,7,8,39.52,8.03,52.02
000776,2430,2015-07-21,2025-07-21,7,5,7,12,24.78,56.45,73.70
000777,2415,2015-07-21,2025-07-21,3,6,15,15,11.97,37.52,52.74
000778,2392,2015-09-15,2025-07-21,3,5,7,14,0.64,-40.66,-26.35
000779,2253,2015-07-21,2025-07-21,3,3,14,15,3.41,66.86,71.26
000782,2359,2015-09-24,2025-07-21,4,5,15,13,25.62,-18.70,13.85
000783,2430,2015-07-21,2025-07-21,3,15,9,9,44.48,7.08,51.61
000785,2419,2015-07-21,2025-07-21,4,11,9,15,3.58,-33.34,-29.50
000786,2361,2015-10-26,2025-07-21,15,15,15,5,138.03,1.43,144.60
000788,2430,2015-07-21,2025-07-21,4,5,15,9,38.79,25.69,60.78
000789,2430,2015-07-21,2025-07-21,5,6,13,15,95.74,15.56,113.06
000790,2338,2015-07-21,2025-07-21,10,12,15,11,30.44,-39.80,-18.00
000791,2421,2015-07-21,2025-07-21,3,3,5,14,-5.85,37.22,30.50
000792,2111,2015-07-21,2025-07-21,6,3,9,13,8.93,-2.55,6.03
000793,2283,2015-08-31,2025-07-21,3,5,10,3,26.83,-12.03,12.39
000795,2354,2015-07-21,2025-07-21,3,2,14,11,81.57,110.21,194.05
000796,2172,2015-07-23,2025-07-21,3,2,6,15,120.44,22.63,142.14
000797,2413,2015-07-21,2025-07-21,11,13,10,11,-63.71,-52.76,-110.42
000798,2430,2015-07-21,2025-07-21,4,3,6,4,74.66,-28.21,46.45
000799,2368,2015-10-23,2025-07-21,14,4,12,15,293.72,52.87,338.51
000800,2419,2015-07-21,2025-07-21,3,2,11,13,46.60,-6.57,38.11
000801,2420,2015-07-21,2025-07-21,5,3,15,12,-5.85,82.51,67.11
000802,2370,2015-07-21,2025-07-21,3,2,3,15,109.95,48.98,153.41
000803,2136,2015-07-21,2025-07-21,15,14,11,15,15.77,-23.49,-42.83
000807,2403,2015-07-21,2025-07-21,5,3,6,11,241.44,34.04,270.08
000809,2421,2015-07-21,2025-07-21,3,4,2,2,-37.24,45.90,7.67
000810,2355,2015-07-21,2025-07-21,11,6,15,4,56.66,35.30,100.79
000811,2430,2015-07-21,2025-07-21,4,5,5,14,116.52,94.72,162.55
000812,2143,2015-11-26,2025-07-21,4,9,3,2,329.04,-45.59,90.95
000813,2300,2016-01-15,2025-07-21,12,12,4,14,43.26,-2.55,46.22
000815,2419,2015-07-21,2025-07-21,4,7,4,8,32.22,153.98,183.58
000816,2417,2015-07-21,2025-07-21,3,9,4,13,174.09,32.95,203.58
000818,2231,2015-09-17,2025-07-21,8,9,14,5,235.80,-24.49,187.68
000819,2430,2015-07-21,2025-07-21,5,2,12,12,-4.42,111.37,109.17
000820,2213,2015-09-11,2025-07-21,4,10,8,15,242.07,-46.31,195.19
000821,2285,2015-07-21,2025-07-21,5,3,15,8,61.84,84.94,142.42
000822,2430,2015-07-21,2025-07-21,11,12,12,3,227.23,-14.00,126.82
000823,2430,2015-07-21,2025-07-21,15,13,4,13,84.56,3.45,82.64
000825,2322,2015-07-21,2025-07-21,15,7,11,12,335.64,-28.23,75.68
000826,2389,2015-07-21,2025-07-21,4,7,3,5,35.26,6.56,40.01
000828,2430,2015-07-21,2025-07-21,5,2,10,10,50.01,15.64,69.83
000829,2191,2015-07-21,2025-07-21,10,10,13,8,130.43,7.95,115.07
000830,2420,2015-07-21,2025-07-21,9,14,15,12,215.81,-45.11,163.98
000831,2428,2015-07-21,2025-07-21,3,7,2,5,254.55,39.44,243.02
000833,2365,2015-07-21,2025-07-21,3,4,15,12,57.77,139.95,176.57
000837,2428,2015-07-21,2025-07-21,5,2,4,14,64.77,73.12,126.82
000838,2322,2015-07-21,2025-07-21,13,3,8,6,108.73,61.80,157.12
000839,2321,2015-12-28,2025-07-21,3,3,15,8,75.80,7.19,42.95
000848,2430,2015-07-21,2025-07-21,14,4,3,14,60.38,-28.78,-65.74
000850,2341,2015-12-02,2025-07-21,3,4,15,15,26.17,-33.97,-13.69
000851,2325,2015-07-21,2025-07-21,8,4,7,6,29.21,71.90,95.60
000852,2430,2015-07-21,2025-07-21,3,5,14,8,-5.67,35.48,29.81
000856,2419,2015-07-21,2025-07-21,5,2,5,9,146.34,46.82,191.96
000858,2370,2015-07-21,2025-07-21,14,13,6,11,243.50,-30.69,221.98
000859,2411,2015-07-21,2025-07-21,4,3,11,12,109.17,70.03,163.38
000860,2430,2015-07-21,2025-07-21,5,2,14,15,118.19,-26.50,93.92
000862,2251,2015-08-18,2025-07-21,10,6,4,3,146.96,-47.03,43.39
000863,2414,2015-07-24,2025-07-21,4,4,13,14,45.62,9.28,56.76
000868,2416,2015-07-21,2025-07-21,3,3,4,10,71.25,56.73,125.04
000869,2430,2015-07-21,2025-07-21,11,4,11,10,93.16,-43.94,48.39
000875,2416,2015-07-21,2025-07-21,3,6,6,15,63.16,-41.58,18.02
000876,2295,2015-07-21,2025-07-21,10,11,11,15,129.27,-56.03,58.03
000877,2398,2015-07-21,2025-07-21,4,4,15,13,149.78,-6.08,142.69
000878,2369,2015-09-08,2025-07-21,3,5,7,15,27.25,8.93,33.75
000880,2420,2015-07-21,2025-07-21,5,8,6,11,-13.65,231.07,217.41
000881,2318,2015-12-15,2025-07-21,3,11,15,9,33.98,-54.25,-21.36
000882,2353,2015-10-28,2025-07-21,4,2,13,2,-27.35,16.56,-11.34
000883,2430,2015-07-21,2025-07-21,4,2,12,15,40.44,17.96,56.64
000885,2356,2015-07-21,2025-07-21,12,6,10,11,56.42,-6.05,54.77
000886,2430,2015-07-21,2025-07-21,6,13,5,14,67.98,46.15,115.56
000887,2253,2015-10-19,2025-07-21,3,4,7,5,76.93,50.96,117.31
