stock_code,stock_name,train_annualized,test_annualized,total_return_pct,trades,win_rate,buy_hold_return_pct,date_start,date_end,timeframe,fast,slow,signal,buy_mode,sell_mode,trailing_stop,take_profit,cooldown
600741,华域汽车,0.122311,-9.37885,-44.6542,4,0,-16.9312,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002739,万达电影,-17.8875,-9.38896,-38.9974,3,0,-42.3611,2020-07-15,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002591,恒大高新,0.510054,-9.39446,-42.8438,4,25,-29.5693,2019-11-20,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
603156,养元饮品,-35.405,-9.39978,-35.6652,4,0,-6.90691,2021-01-29,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002235,安妮股份,-15.6562,-9.41039,-43.132,4,25,-13.0089,2019-11-05,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600855,航天长峰,-24.1509,-9.41174,-43.0444,4,50,11.8123,2019-11-11,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
600613,神奇制药,-26.7153,-9.42507,-44.8235,5,20,-5.94595,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002719,麦趣尔,-31.7468,-9.43619,-41.7734,3,33.3333,3.67075,2020-02-03,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002826,易明医药,-25.7894,-9.44272,-40.1128,4,25,81.2202,2020-05-18,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002893,京能热力,-23.2974,-9.45393,-37.3709,3,0,19.2473,2020-11-05,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
002495,佳隆股份,-10.3296,-9.47434,-45.0036,5,20,-15.5763,2019-07-17,2025-07-21,MONTHLY,14,17,3,GoldenX,DIF<0,0,0,0
